scenario_id,scenario_name,oil_factor,voll,carbon_tax,termination_status,primal_status,objective_value,investment_cost,operating_cost,oil_cost_total,gas_cost_total,carbon_cost_component,voll_cost_component,curtailment_penalty_component,reserve_shortfall_penalty_component,total_demand,total_nse_mwh,nse_pct,nse_hours,peak_nse,total_curt_pv,total_curt_wind,total_curt,curt_pct_of_potential,total_reserve_shortfall,reserve_shortfall_hours,max_reserve_shortfall,min_reserve_headroom,min_must_run_slack,cap_exist_pv,cap_exist_wind,cap_exist_oil_base,cap_exist_oil,cap_exist_gas,cap_pv,cap_wind,cap_oil,cap_gas,dcap_pv,dcap_wind,dcap_gas,Pbat_2,Ebat_2,Pbat_4,Ebat_4,Pbat_8,Ebat_8,Pbat_total,Ebat_total,total_generation_pv,total_generation_wind,total_generation_oil,total_generation_gas,total_battery_charge,total_battery_discharge,sync_min_frac,reserve_frac,ramp_oil_mw_per_h,ramp_gas_mw_per_h,curt_penalty,reserve_slack_penalty
1,base_oil0.00_voll2000_co20,0.0,2000.0,0.0,OPTIMAL,FEASIBLE_POINT,3.37801485444184e8,2.0213420360544103e8,1.356672818387601e8,0.0,1.3321774359210671e8,0.0,697483.2940967625,1.752054952556362e6,0.0,7.571096844236515e6,348.7416470483813,0.004606223566059127,5,122.06126355085425,260728.78226447574,89682.20824679689,350410.9905112726,6.787655575054638,0.0,0,0.0,0.0,0.0,659.52,157.5,1482.5,0.0,0.0,2222.3802104200213,682.0552338970816,0.0,685.8271782260612,1562.8602104200213,524.5552338970816,685.8271782260612,-0.0,-0.0,320.58094479740504,1282.3237791896202,397.40684262677405,3179.2547410141924,717.987787424179,4461.578520203812,3.266166387869984e6,1.5458971555221474e6,0.0,2.8469624354032893e6,1.7870015426320017e6,1.698723666426014e6,0.2,0.1,300.0,300.0,5.0,1.0e6
2,base_oil0.00_voll2000_co210,0.0,2000.0,10.0,OPTIMAL,FEASIBLE_POINT,3.4816700365052426e8,2.128990275655312e8,1.3526797608502093e8,0.0,1.2316284652808894e8,1.0029721491508914e7,7410.285505463477,2.0679977799135314e6,0.0,7.571096844236515e6,3.7051427527317387,4.893799179906505e-5,1,3.7051427527317387,319318.99397261854,94280.56201008729,413599.55598270585,7.571847972320292,0.0,0,0.0,0.0,0.0,659.52,157.5,1482.5,0.0,0.0,2421.0318012590214,675.6334461922421,0.0,649.0862085468575,1761.5118012590217,518.1334461922421,649.0862085468575,-0.0,-0.0,311.712503984959,1246.850015939836,487.6193333494603,3900.9546667956824,799.3318373344193,5147.804682735518,3.522834264307447e6,1.525899252094044e6,0.0,2.6320817936718566e6,2.2210965785353724e6,2.11137440755574e6,0.2,0.1,300.0,300.0,5.0,1.0e6
3,base_oil0.00_voll2000_co220,0.0,2000.0,20.0,OPTIMAL,FEASIBLE_POINT,3.578835835692732e8,2.205310883495502e8,1.3735249521969625e8,0.0,1.1604319040387905e8,1.8899869782915708e7,71872.8622306678,2.3375621706712684e6,0.0,7.571096844236515e6,35.9364311153339,0.00047465290505021673,1,35.9364311153339,368784.6054351778,98727.82869907584,467512.43413425365,8.223468785675179,0.0,0,0.0,11.84415035193851,0.0,659.52,157.5,1482.5,0.0,0.0,2563.180073450772,674.4571259189158,0.0,614.9854415849502,1903.660073450772,516.9571259189158,614.9854415849502,-0.0,-0.0,270.5165273238458,1082.0661092953833,578.523009770544,4628.184078164352,849.0395370943899,5710.250187459736,3.698956539330475e6,1.5186311505685048e6,0.0,2.4799294377463385e6,2.559842506882812e6,2.4333862870427994e6,0.2,0.1,300.0,300.0,5.0,1.0e6
4,base_oil0.00_voll2000_co230,0.0,2000.0,30.0,OPTIMAL,FEASIBLE_POINT,3.67191172720261e8,2.2470167929848543e8,1.4248949342174897e8,0.0,1.1246449854284103e8,2.7475516274536025e7,0.0,2.549478604367706e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,401868.05657153495,108027.66430200681,509895.7208735418,8.767590308838317,0.0,0,0.0,18.766539466435148,0.0,659.52,157.5,1482.5,0.0,0.0,2614.2497737782246,695.1163037806878,0.0,602.4794705062139,1954.7297737782246,537.6163037806878,602.4794705062139,-0.0,-0.0,262.46485953008624,1049.859438120345,604.9907380423097,4839.925904338477,867.4555975723958,5889.785342458822,3.7469201919167694e6,1.558872354024947e6,0.0,2.4034501263459474e6,2.7964742520465753e6,2.6583284239954175e6,0.2,0.1,300.0,300.0,5.0,1.0e6
5,base_oil0.00_voll2000_co240,0.0,2000.0,40.0,OPTIMAL,FEASIBLE_POINT,3.76147902980014e8,2.298925849099106e8,1.462553180701258e8,0.0,1.0829580680049278e8,3.527611813224614e7,0.0,2.6833931373857716e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,433809.3247950607,102869.30268209269,536678.6274771533,9.019589504533643,0.0,0,0.0,56.89193020912356,0.0,659.52,157.5,1482.5,0.0,0.0,2735.339859691761,671.0496105306354,0.0,576.9463058323696,2075.819859691761,513.5496105306354,576.9463058323696,-0.0,-0.0,281.5689683931461,1126.2758735725845,650.7244525650351,5205.795620520281,932.2934209581813,6332.071494092866,3.9071476791371643e6,1.506318400164139e6,0.0,2.31436207789793e6,3.172698642971e6,3.0159673300082055e6,0.2,0.1,300.0,300.0,5.0,1.0e6
6,base_oil0.00_voll2000_co250,0.0,2000.0,50.0,OPTIMAL,FEASIBLE_POINT,3.847811347524265e8,2.3822734990367264e8,1.4655378484876537e8,0.0,1.0200667316292623e8,4.153438114416076e7,0.0,3.0127305416794172e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,496865.0896546321,105681.01868125009,602546.1083358822,9.751198295899448,0.0,0,0.0,104.87434158533196,0.0,659.52,157.5,1482.5,0.0,0.0,2887.2660957372427,666.0248418764518,0.0,541.628807785497,2227.7460957372427,508.52484187645183,541.628807785497,-0.0,-0.0,303.19986717268307,1212.7994686907323,712.6396768726341,5701.117414981073,1015.8395440453172,6913.916883671805,4.0851973316194164e6,1.491457208535953e6,0.0,2.179958606298742e6,3.7553907331510056e6,3.5698744309333563e6,0.2,0.1,300.0,300.0,5.0,1.0e6
7,base_oil0.00_voll6500_co20,0.0,6500.0,0.0,OPTIMAL,FEASIBLE_POINT,3.3788731905173117e8,2.0608361887147534e8,1.318037001802534e8,0.0,1.3005559892507273e8,0.0,0.0,1.7481012551807887e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,262506.3702252729,87113.88081088361,349620.2510361565,6.673732224926157,0.0,0,0.0,0.0,0.0,659.52,157.5,1482.5,0.0,0.0,2279.5852267672853,676.0057484445083,0.0,678.3201033291169,1620.0652267672854,518.5057484445083,678.3201033291169,-0.0,-0.0,366.7425424022932,1466.970169609173,407.04230009223767,3256.3384007379013,773.784842494531,4723.308570347074,3.355172588802143e6,1.5339587200510171e6,0.0,2.779385047890166e6,1.9720549090450427e6,1.8746353965381687e6,0.2,0.1,300.0,300.0,5.0,1.0e6
8,base_oil0.00_voll6500_co210,0.0,6500.0,10.0,OPTIMAL,FEASIBLE_POINT,3.481712395568931e8,2.1327936447629276e8,1.3489187508059716e8,0.0,1.2282075042394847e8,1.000186302002467e7,0.0,2.0692616366235833e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,319708.1150158549,94144.21230886214,413852.327324717,7.564479794151131,0.0,0,0.0,0.0,0.0,659.52,157.5,1482.5,0.0,0.0,2426.5207069642147,675.6131380738034,0.0,647.5053777335165,1767.0007069642147,518.1131380738034,647.5053777335165,-0.0,-0.0,314.78946402494375,1259.157856099775,489.8293419733523,3918.6347357868185,804.618805998296,5177.792591886593,3.531155981729278e6,1.5259869026023268e6,0.0,2.6247709450451983e6,2.243258808506739e6,2.132441823366512e6,0.2,0.1,300.0,300.0,5.0,1.0e6
9,base_oil0.00_voll6500_co220,0.0,6500.0,20.0,OPTIMAL,FEASIBLE_POINT,3.5788495434952766e8,2.206737862894025e8,1.3721116806013858e8,0.0,1.1596658025635314e8,1.8887392344064392e7,0.0,2.3571954597213175e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,372529.7788875247,98909.3130567383,471439.09194426297,8.283977520957059,0.0,0,0.0,13.215737691586895,0.0,659.52,157.5,1482.5,0.0,0.0,2568.6440199572808,673.2910262394104,0.0,615.68903862458,1909.1240199572806,515.7910262394104,615.68903862458,-0.0,-0.0,275.08389068921883,1100.3355627568753,574.6807755894853,4597.446204715882,849.7646662787041,5697.781767472758,3.7038825943444623e6,1.5156533405217875e6,0.0,2.478292221814661e6,2.565411183086912e6,2.4386798706424246e6,0.2,0.1,300.0,300.0,5.0,1.0e6
10,base_oil0.00_voll6500_co230,0.0,6500.0,30.0,OPTIMAL,FEASIBLE_POINT,3.6719117272026104e8,2.2470167929848546e8,1.4248949342174903e8,0.0,1.1246449854284102e8,2.7475516274536025e7,0.0,2.549478604367708e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,402176.5380448407,107719.18282870119,509895.7208735419,8.76759030883832,0.0,0,0.0,18.766539466434267,0.0,659.52,157.5,1482.5,0.0,0.0,2614.2497737782237,695.1163037806884,0.0,602.4794705062138,1954.7297737782237,537.6163037806884,602.4794705062138,-0.0,-0.0,262.4648595300843,1049.8594381203372,604.9907380423108,4839.925904338486,867.4555975723952,5889.785342458824,3.746611710443463e6,1.5591808354982538e6,0.0,2.403450126345947e6,2.7964742520465744e6,2.6583284239954175e6,0.2,0.1,300.0,300.0,5.0,1.0e6
11,base_oil0.00_voll6500_co240,0.0,6500.0,40.0,OPTIMAL,FEASIBLE_POINT,3.76147902980014e8,2.2989258490991077e8,1.4625531807012558e8,0.0,1.0829580680049264e8,3.527611813224608e7,0.0,2.683393137385787e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,433809.32479506376,102869.30268209266,536678.6274771565,9.019589504533688,0.0,0,0.0,56.891930209126,0.0,659.52,157.5,1482.5,0.0,0.0,2735.3398596917673,671.0496105306338,0.0,576.9463058323696,2075.8198596917673,513.5496105306338,576.9463058323696,-0.0,-0.0,281.56896839315027,1126.275873572601,650.7244525650334,5205.795620520267,932.2934209581837,6332.071494092868,3.9071476791371736e6,1.5063184001641374e6,0.0,2.314362077897928e6,3.1726986429710076e6,3.0159673300082134e6,0.2,0.1,300.0,300.0,5.0,1.0e6
12,base_oil0.00_voll6500_co250,0.0,6500.0,50.0,OPTIMAL,FEASIBLE_POINT,3.847811347524265e8,2.3822734990367264e8,1.4655378484876537e8,0.0,1.0200667316292623e8,4.153438114416076e7,0.0,3.0127305416794172e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,496865.0896546322,105681.01868125003,602546.1083358822,9.751198295899448,0.0,0,0.0,104.87434158533208,0.0,659.52,157.5,1482.5,0.0,0.0,2887.266095737243,666.0248418764515,0.0,541.6288077854969,2227.746095737243,508.5248418764516,541.6288077854969,-0.0,-0.0,303.1998671726834,1212.7994686907336,712.6396768726341,5701.117414981073,1015.8395440453176,6913.916883671807,4.0851973316194173e6,1.4914572085359527e6,0.0,2.179958606298742e6,3.7553907331510056e6,3.5698744309333563e6,0.2,0.1,300.0,300.0,5.0,1.0e6
13,base_oil0.00_voll10000_co20,0.0,10000.0,0.0,OPTIMAL,FEASIBLE_POINT,3.3788731905173117e8,2.0608361887147534e8,1.3180370018025345e8,0.0,1.3005559892507276e8,0.0,0.0,1.7481012551807899e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,262506.37022527325,87113.88081088364,349620.2510361569,6.673732224926164,0.0,0,0.0,0.0,0.0,659.52,157.5,1482.5,0.0,0.0,2279.585226767286,676.0057484445082,0.0,678.3201033291167,1620.0652267672858,518.5057484445082,678.3201033291167,-0.0,-0.0,366.74254240229294,1466.9701696091718,407.0423000922379,3256.338400737903,773.7848424945308,4723.308570347075,3.3551725888021444e6,1.5339587200510171e6,0.0,2.779385047890166e6,1.9720549090450427e6,1.8746353965381694e6,0.2,0.1,300.0,300.0,5.0,1.0e6
14,base_oil0.00_voll10000_co210,0.0,10000.0,10.0,OPTIMAL,FEASIBLE_POINT,3.481712395568929e8,2.1327936447629252e8,1.3489187508059728e8,0.0,1.2282075042394862e8,1.000186302002468e7,0.0,2.0692616366235812e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,319708.11501585424,94144.21230886204,413852.32732471626,7.564479794151123,0.0,0,0.0,0.0,0.0,659.52,157.5,1482.5,0.0,0.0,2426.5207069642115,675.613138073803,0.0,647.5053777335179,1767.0007069642115,518.113138073803,647.5053777335179,-0.0,-0.0,314.78946402494574,1259.157856099783,489.82934197334845,3918.6347357867876,804.6188059982942,5177.79259188657,3.531155981729272e6,1.5259869026023257e6,0.0,2.6247709450452006e6,2.243258808506727e6,2.1324418233665014e6,0.2,0.1,300.0,300.0,5.0,1.0e6
15,base_oil0.00_voll10000_co220,0.0,10000.0,20.0,OPTIMAL,FEASIBLE_POINT,3.578849543495278e8,2.2067378628940257e8,1.372111680601386e8,0.0,1.1596658025635308e8,1.888739234406439e7,0.0,2.3571954597213226e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,372529.7788875264,98909.31305673813,471439.09194426454,8.283977520957084,0.0,0,0.0,13.215737691588316,0.0,659.52,157.5,1482.5,0.0,0.0,2568.6440199572835,673.2910262394091,0.0,615.6890386245803,1909.1240199572833,515.7910262394091,615.6890386245803,-0.0,-0.0,275.0838906892232,1100.3355627568928,574.6807755894821,4597.446204715857,849.7646662787054,5697.781767472749,3.7038825943444674e6,1.5156533405217845e6,0.0,2.478292221814661e6,2.5654111830869126e6,2.438679870642424e6,0.2,0.1,300.0,300.0,5.0,1.0e6
16,base_oil0.00_voll10000_co230,0.0,10000.0,30.0,OPTIMAL,FEASIBLE_POINT,3.6719117272026104e8,2.247016792984854e8,1.4248949342174906e8,0.0,1.1246449854284102e8,2.7475516274536017e7,0.0,2.549478604367709e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,402176.5380448406,107719.18282870125,509895.7208735419,8.76759030883832,0.0,0,0.0,18.766539466434494,0.0,659.52,157.5,1482.5,0.0,0.0,2614.2497737782232,695.1163037806887,0.0,602.4794705062139,1954.7297737782235,537.6163037806887,602.4794705062139,-0.0,-0.0,262.4648595300849,1049.8594381203395,604.9907380423103,4839.925904338483,867.4555975723952,5889.785342458822,3.746611710443463e6,1.5591808354982557e6,0.0,2.403450126345947e6,2.796474252046575e6,2.6583284239954175e6,0.2,0.1,300.0,300.0,5.0,1.0e6
17,base_oil0.00_voll10000_co240,0.0,10000.0,40.0,OPTIMAL,FEASIBLE_POINT,3.76147902980014e8,2.298925849099106e8,1.4625531807012576e8,0.0,1.0829580680049275e8,3.527611813224614e7,0.0,2.6833931373857753e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,433809.3247950613,102869.30268209276,536678.6274771541,9.019589504533656,0.0,0,0.0,56.89193020912339,0.0,659.52,157.5,1482.5,0.0,0.0,2735.3398596917614,671.0496105306354,0.0,576.9463058323696,2075.8198596917614,513.5496105306354,576.9463058323696,-0.0,-0.0,281.56896839314584,1126.2758735725834,650.7244525650352,5205.795620520282,932.2934209581811,6332.071494092865,3.907147679137164e6,1.506318400164139e6,0.0,2.3143620778979296e6,3.172698642971001e6,3.0159673300082055e6,0.2,0.1,300.0,300.0,5.0,1.0e6
18,base_oil0.00_voll10000_co250,0.0,10000.0,50.0,OPTIMAL,FEASIBLE_POINT,3.8478113475242656e8,2.3822734990367267e8,1.465537848487654e8,0.0,1.020066731629262e8,4.153438114416075e7,0.0,3.012730541679423e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,496865.0896546332,105681.01868124984,602546.108335883,9.751198295899464,0.0,0,0.0,104.87434158533355,0.0,659.52,157.5,1482.5,0.0,0.0,2887.266095737245,666.0248418764508,0.0,541.6288077854973,2227.746095737245,508.52484187645075,541.6288077854973,-0.0,-0.0,303.1998671726873,1212.799468690749,712.6396768726313,5701.11741498105,1015.8395440453186,6913.9168836718,4.085197331619419e6,1.491457208535951e6,0.0,2.1799586062987414e6,3.7553907331510065e6,3.5698744309333563e6,0.2,0.1,300.0,300.0,5.0,1.0e6
19,base_oil0.05_voll2000_co20,0.05,2000.0,0.0,OPTIMAL,FEASIBLE_POINT,3.3258847808333045e8,1.9723489015042654e8,1.3535358793292502e8,1.088108849836334e6,1.3235893213033468e8,0.0,175849.29161766198,1.730697661135894e6,0.0,7.571096844236515e6,87.92464580883097,0.001161319787842411,3,41.493881980572446,249477.11298380053,96662.41924337762,346139.53222717816,6.694584836441127,0.0,0,0.0,2.842170943040401e-14,0.0,659.52,157.5,1482.5,74.125,0.0,2218.7763571600995,687.7621778153633,74.125,616.3236307652909,1559.2563571600995,530.2621778153633,616.3236307652909,-0.0,-0.0,306.3970680979303,1225.5882723917211,413.189299940682,3305.514399525456,719.5863680386124,4531.102671917177,3.271698778065716e6,1.5526022873527198e6,8952.777012242906,2.828608994601527e6,1.8391481263471893e6,1.7482942089056433e6,0.2,0.1,300.0,300.0,5.0,1.0e6
20,base_oil0.05_voll2000_co210,0.05,2000.0,10.0,OPTIMAL,FEASIBLE_POINT,3.4297513134174114e8,2.0691155097604737e8,1.3606358036570182e8,1.1253574541283634e6,1.2279236696777177e8,1.0065148927900903e7,7738.642056549083,2.0729683738569142e6,0.0,7.571096844236515e6,3.869321028274541,5.1106479125545135e-5,1,3.869321028274541,312581.73216726055,102011.94260412175,414593.6747713823,7.588019224494263,0.0,0,0.0,0.0,0.0,659.52,157.5,1482.5,74.125,0.0,2413.397313447801,681.2947660385466,74.125,575.9318744433642,1753.8773134478008,523.7947660385466,575.9318744433642,-0.0,-0.0,314.36044855856386,1257.4417942342554,483.55913993133703,3868.4731194506962,797.9195884899009,5125.914913684952,3.517455670301265e6,1.5317438070725743e6,9259.252277372838,2.6241643694391684e6,2.2576948213563967e6,2.146164697181384e6,0.2,0.1,300.0,300.0,5.0,1.0e6
21,base_oil0.05_voll2000_co220,0.05,2000.0,20.0,OPTIMAL,FEASIBLE_POINT,3.527432541272727e8,2.1450204393234092e8,1.3824121019497073e8,1.1476326597151093e6,1.1573375200341043e8,1.8983263236993685e7,0.0,2.3765622948424164e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,366382.75080352277,108929.70816496052,475312.45896848326,8.351341702735745,0.0,0,0.0,7.710174756728549,0.0,659.52,157.5,1482.5,74.125,0.0,2544.989001224416,689.1439272818811,74.125,545.0070671901444,1885.4690012244162,531.6439272818811,545.0070671901444,-0.0,-0.0,273.8530385339932,1095.4121541359727,566.1862440932072,4529.489952745657,840.0392826272004,5624.90210688163,3.6724893442496136e6,1.543648455759827e6,9442.528930760962,2.473316508579207e6,2.587044398438004e6,2.4592444051551414e6,0.2,0.1,300.0,300.0,5.0,1.0e6
22,base_oil0.05_voll2000_co230,0.05,2000.0,30.0,OPTIMAL,FEASIBLE_POINT,3.6208963394603e8,2.1885666654945546e8,1.4323296739655578e8,1.1719033915420666e6,1.1194766561472906e8,2.7554183399473287e7,0.0,2.559214990814554e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,397548.1331364474,114294.86502646415,511842.99816291156,8.79303859747341,0.0,0,0.0,19.005388031742797,0.0,659.52,157.5,1482.5,74.125,0.0,2611.3794639236658,699.2319577909428,74.125,528.4431707024755,1951.859463923666,541.7319577909428,528.4431707024755,-0.0,-0.0,263.7968876119489,1055.1875504477955,603.6071912829906,4828.857530263925,867.4040788949394,5884.04508071172,3.746684962315734e6,1.5624745574675365e6,9642.224439168393,2.3924050216020243e6,2.8362332305247854e6,2.6961233089368814e6,0.2,0.1,300.0,300.0,5.0,1.0e6
23,base_oil0.05_voll2000_co240,0.05,2000.0,40.0,OPTIMAL,FEASIBLE_POINT,3.7114276408907855e8,2.21966869253708e8,1.4917589483537477e8,1.2006368719172052e6,1.0939794208889593e8,3.591506749794311e7,0.0,2.6622483766127042e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,417690.25686706376,114759.41845547632,532449.6753225401,9.01408514219854,0.0,0,0.0,35.72044163408458,0.0,659.52,157.5,1482.5,74.125,0.0,2670.768991363788,695.7332594076837,74.125,514.935604045154,2011.248991363788,538.2332594076837,514.935604045154,-0.0,-0.0,268.5638436153952,1074.2553744615807,629.2342917599873,5033.874334079898,897.7981353753825,6108.129708541479,3.8207934247373515e6,1.5536200693363124e6,9878.638693700894,2.337915530165147e6,3.058923455384645e6,2.9078126366885914e6,0.2,0.1,300.0,300.0,5.0,1.0e6
24,base_oil0.05_voll2000_co250,0.05,2000.0,50.0,OPTIMAL,FEASIBLE_POINT,3.799156096563315e8,2.282689869780625e8,1.5164662267827165e8,1.3266882538912422e6,1.0446633308116129e8,4.292255326461868e7,0.0,2.931048078605039e6,0.0,7.571096844236515e6,0.0,0.0,0,0.0,466940.77264853904,119268.84307246674,586209.6157210058,9.63162049014968,0.0,0,0.0,63.975532294935505,0.0,659.52,157.5,1482.5,74.125,0.0,2774.080508648158,702.1909219042176,74.125,489.84603500586866,2114.560508648158,544.6909219042176,489.84603500586866,-0.0,-0.0,274.0030154894739,1096.0120619578956,676.8233541237147,5414.586832989718,950.8263696131886,6510.598894947613,3.935497253771002e6,1.5645962227086036e6,10915.768310897141,2.232523371338781e6,3.4906026698965714e6,3.31816689800361e6,0.2,0.1,300.0,300.0,5.0,1.0e6
